target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	0	0
rna28333	66	31	0	0
rna28334	63	28	1	7.15181
rna28335	70	35	0	0
rna28336	69	34	4	23.5589
gene12361	1002	967	496	102.714
rna28337	69	34	7	41.2281
rna28338	68	33	310	1881.14
rna28339	72	37	17	92.0071
gene12362	1566	1531	85552	11190
rna28340	70	35	4	22.8858
gene12363	678	643	14339	4465.62
rna28341	69	34	1	5.88973
rna28342	69	34	0	0
gene12364	159	124	17	27.4537
gene12365	681	646	393	121.824
gene12366	780	745	993	266.911
rna28343	66	31	0	0
gene12367	354	319	42	26.3653
rna28344	67	32	7	43.8049
rna28345	69	34	0	0
rna28346	69	34	0	0
gene12368	1665	1630	2735	336.004
rna28347	68	33	1	6.0682
gene12369	1344	1309	4099	627.065
gene12370	264	229	38	33.2294
rna28348	78	43	1	4.65699
rna28349	68	33	2	12.1364
gene12371	504	469	181	77.2823
gene12372	1152	1117	15345	2750.98
rna28350	67	32	0	0
gene12373	918	883	1086	246.288
rna28351	71	36	11	61.1877
rna28352	1371	1336	191655	28726.9
rna28353	70	35	7	40.0502
rna28354	786	751	5238	1396.69
rna0	1447	1412	76.4405	10.8408
rna1	835	800	40.3528	10.1008
rna2	1068	1033	3.69901	0.717066
rna3	4225	4190	355.007	16.9667
rna4	4189	4154	1068.41	51.5043
rna5	4183	4148	485.552	23.4407
rna6	4099	4064	135.647	6.68389
rna7	4256	4221	615.146	29.1835
rna8	1745	1710	635.784	74.4539
rna9	1848	1813	998.216	110.256
rna10	1156	1121	373.938	66.7987
rna11	811	776	270.146	69.7125
rna12	2088	2053	324.572	31.659
rna13	1866	1831	0	0
rna14	1817	1782	0	0
rna15	1761	1726	521.691	60.5266
rna16	1767	1732	171.242	19.7987
rna17	2330	2295	286.411	24.9909
rna18	1595	1560	430	55.1973
rna20	1635	1600	235.071	29.4207
rna19	2736	2701	145.06	10.7546
rna21	1102	1067	19	3.56585
rna22	370	335	54.338	32.4812
rna23	5269	5234	1846.83	70.6591
rna24	709	674	2	0.594216
rna25	1346	1311	235	35.8954
rna29	2262	2227	0	0
rna28	2319	2284	0	0
rna27	2080	2045	375	36.7208
rna26	2131	2096	0	0
rna31	2378	2343	0.000135102	1.15468e-005
rna30	2797	2762	19.9594	1.4471
rna32	2705	2670	1324.04	99.3034
rna34	670	635	4.2053	1.32616
rna33	519	484	152.795	63.2175
rna35	7543	7508	166	4.42749
rna48	2647	2612	582.149	44.6309
rna47	3942	3907	33.1864	1.70095
rna46	2870	2835	163.606	11.5563
rna45	4248	4213	292.387	13.8976
rna44	4454	4419	2.47748	0.112269
rna43	3106	3071	78.1678	5.09709
rna42	2769	2734	0	0
rna40	2940	2905	194.054	13.3767
rna41	3144	3109	0.00242435	0.000156153
rna38	2843	2808	0	0
rna39	3009	2974	145.754	9.81416
rna37	3214	3179	0.00155944	9.8232e-005
rna36	3212	3177	0	0
rna49	84	49	0	0
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	1	3.08078
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	129.845	9.42425
rna64	2208	2173	142.423	13.1249
rna65	2212	2177	13.8047	1.26982
rna66	14474	14439	0	0
rna67	14423	14388	0	0
rna68	14444	14409	0	0
rna69	14417	14382	52.929	0.736968
rna70	14453	14418	45.1706	0.627373
rna71	14407	14372	94.2548	1.31329
rna72	14356	14321	0	0
rna73	14266	14231	51.3772	0.722952
rna74	14458	14423	1.60956e-005	2.23473e-007
rna75	14395	14360	484.521	6.75667
rna76	14316	14281	0.00521468	7.31212e-005
rna77	14300	14265	367.708	5.16185
rna78	14089	14054	1051.03	14.9758
rna83	6159	6124	127.646	4.17392
rna81	4544	4509	0.384444	0.0170737
rna82	4606	4571	222.132	9.73137
rna80	4421	4386	1664.18	75.9811
rna79	4544	4509	36.6591	1.62808
rna84	1474	1439	6.9428	0.966157
rna85	4011	3976	875.754	44.1073
rna86	4332	4297	195.279	9.10048
rna87	5550	5515	0	0
rna88	5530	5495	59.0067	2.15034
rna89	4942	4907	1552.22	63.345
rna91	2164	2129	5.64591	0.531046
rna92	88	53	4.25686	16.0838
rna93	23	24	0	0
rna90	4161	4126	139.342	6.76282
rna94	1791	1756	2	0.228076
rna95	7798	7763	1315.83	33.9425
rna96	1263	1228	149.367	24.3574
rna97	1507	1472	2.04913	0.278764
rna98	147	112	18.3769	32.8571
rna99	1089	1054	16	3.03986
rna100	3465	3430	1284.7	75.0033
rna101	3014	2979	414.304	27.8499
rna102	2233	2198	1648.94	150.228
rna103	556	521	1	0.384358
rna104	937	902	4	0.88803
rna106	2689	2654	227.949	17.1993
rna105	2799	2764	172.649	12.5083
rna107	4147	4112	520.816	25.3633
rna108	3811	3776	274.184	14.5406
rna109	135	100	0	0
rna110	21	22	0	0
rna113	1684	1649	927.696	112.657
rna112	1416	1381	0.227779	0.0330289
rna111	1532	1497	717.077	95.9219
rna114	1231	1196	191	31.9798
rna118	2623	2588	14.8137	1.14623
rna117	2429	2394	15.4048	1.28856
rna115	2665	2630	1034.78	78.7893
rna116	2757	2722	0	0
rna119	443	408	38	18.6508
rna120	2938	2903	597.887	41.2426
rna121	3327	3292	0	0
rna122	3374	3339	337.113	20.2178
