target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	0	0
rna28333	66	31	0	0
rna28334	63	28	0	0
rna28335	70	35	1	6.13047
rna28336	69	34	1	6.31078
gene12361	1002	967	356	78.9924
rna28337	69	34	8	50.4862
rna28338	68	33	175.957	1144.07
rna28339	72	37	7	40.5936
gene12362	1566	1531	61293	8590.08
rna28340	70	35	3	18.3914
gene12363	678	643	10874	3628.61
rna28341	69	34	1	6.31078
rna28342	69	34	6	37.8647
gene12364	159	124	10	17.3037
gene12365	681	646	320	106.287
gene12366	780	745	844	243.079
rna28343	66	31	1	6.9215
gene12367	354	319	18	12.1072
rna28344	67	32	2	13.4104
rna28345	69	34	1	6.31078
rna28346	69	34	0	0
gene12368	1665	1630	2372	312.24
rna28347	68	33	3	19.506
gene12369	1344	1309	3243	531.58
gene12370	264	229	27	25.2982
rna28348	78	43	2	9.97983
rna28349	68	33	1	6.50201
gene12371	504	469	178	81.4346
gene12372	1152	1117	12034	2311.63
rna28350	67	32	0	0
gene12373	918	883	741	180.061
rna28351	71	36	9	53.6416
rna28352	1371	1336	175142	28128.5
rna28353	70	35	10	61.3047
rna28354	786	751	4943	1412.25
rna0	1447	1412	12.7926	1.94395
rna1	835	800	29.523	7.9183
rna2	1068	1033	33.053	6.8655
rna3	4225	4190	776.654	39.7718
rna4	4189	4154	882.037	45.5598
rna5	4183	4148	189.123	9.78287
rna6	4099	4064	6.43904e-007	3.39961e-008
rna7	4256	4221	967.818	49.1972
rna8	1745	1710	454.688	57.053
rna9	1848	1813	1597.31	189.04
rna10	1156	1121	334.063	63.9416
rna11	811	776	146.749	40.5765
rna12	2088	2053	277.879	29.0421
rna13	1866	1831	0	0
rna14	1817	1782	0	0
rna15	1761	1726	678.593	84.3588
rna16	1767	1732	99.1188	12.2792
rna17	2330	2295	271.598	25.3925
rna18	1595	1560	462	63.5447
rna20	1635	1600	185.366	24.8583
rna19	2736	2701	207.021	16.4457
rna21	1102	1067	10	2.01093
rna22	370	335	32.587	20.8719
rna23	5269	5234	2043.18	83.7594
rna24	709	674	5	1.59174
rna25	1346	1311	199	32.5696
rna29	2262	2227	0	0
rna28	2319	2284	0	0
rna27	2080	2045	348	36.513
rna26	2131	2096	0	0
rna31	2378	2343	84.5162	7.73979
rna30	2797	2762	0	0
rna32	2705	2670	1249.48	100.411
rna34	670	635	0	0
rna33	519	484	141	62.508
rna35	7543	7508	257	7.34464
rna48	2647	2612	1109.58	91.1482
rna47	3942	3907	21.1193	1.15984
rna46	2870	2835	39.6412	3.00023
rna45	4248	4213	285.399	14.5353
rna44	4454	4419	74.0145	3.59381
rna43	3106	3071	96.0917	6.71379
rna42	2769	2734	0	0
rna40	2940	2905	33.3162	2.46077
rna41	3144	3109	0	0
rna38	2843	2808	0	0
rna39	3009	2974	108.601	7.83527
rna37	3214	3179	0	0
rna36	3212	3177	59.6974	4.03181
rna49	84	49	1	4.37891
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	172.672	13.4287
rna64	2208	2173	69.9123	6.90328
rna65	2212	2177	7.41543	0.730869
rna66	14474	14439	0	0
rna67	14423	14388	0	0
rna68	14444	14409	0	0
rna69	14417	14382	1.96549e-008	2.93233e-010
rna70	14453	14418	44.8466	0.6674
rna71	14407	14372	47.9138	0.715328
rna72	14356	14321	90.4575	1.35529
rna73	14266	14231	483.883	7.29569
rna74	14458	14423	2.09045e-005	3.1099e-007
rna75	14395	14360	1174.88	17.555
rna76	14316	14281	0.00540899	8.12679e-005
rna77	14300	14265	370.502	5.5729
rna78	14089	14054	886.509	13.5346
rna83	6159	6124	84.2692	2.95254
rna81	4544	4509	38.2186	1.81868
rna82	4606	4571	144.752	6.79479
rna80	4421	4386	1724.76	84.3765
rna79	4544	4509	0	0
rna84	1474	1439	24.598	3.66776
rna85	4011	3976	722.187	38.9731
rna86	4332	4297	0	0
rna87	5550	5515	0	0
rna88	5530	5495	14.4496	0.564222
rna89	4942	4907	1617.54	70.7296
rna91	2164	2129	3.15543	0.318013
rna92	88	53	0	0
rna93	23	24	0	0
rna90	4161	4126	61.2365	3.18451
rna94	1791	1756	2	0.244381
rna95	7798	7763	1309.34	36.1898
rna96	1263	1228	105.654	18.4607
rna97	1507	1472	2.03113	0.296067
rna98	147	112	4.36382	8.36008
rna99	1089	1054	12	2.44288
rna100	3465	3430	938.67	58.7192
rna101	3014	2979	534.33	38.4858
rna102	2233	2198	1369.85	133.723
rna103	556	521	0	0
rna104	937	902	3	0.713635
rna106	2689	2654	209.871	16.9673
rna105	2799	2764	139.543	10.8326
rna107	4147	4112	484.051	25.258
rna108	3811	3776	99.9494	5.6795
rna109	135	100	0	0
rna110	21	22	0	0
rna113	1684	1649	643.59	83.7433
rna112	1416	1381	211.672	32.8875
rna111	1532	1497	506.738	72.6313
rna114	1231	1196	156	27.9869
rna118	2623	2588	6.74773	0.559442
rna117	2429	2394	12.6308	1.13206
rna115	2665	2630	877.621	71.6
rna116	2757	2722	0	0
rna119	443	408	35	18.4064
rna120	2938	2903	747.353	55.2383
rna121	3327	3292	0	0
rna122	3374	3339	321.647	20.6692
rna123	3403	3368	304.551	19.4022
rna124	73	38	0.648672	3.66272
