target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	1	5.73105
rna28333	66	31	2	10.3529
rna28334	63	28	2	11.4621
rna28335	70	35	0	0
rna28336	69	34	12	56.6362
gene12361	1002	967	465	77.1647
rna28337	69	34	8	37.7575
rna28338	68	33	267.933	1302.88
rna28339	72	37	10	43.3701
gene12362	1566	1531	85779	8990.79
rna28340	70	35	4	18.3394
gene12363	678	643	18129	4524.34
rna28341	69	34	2	9.43937
rna28342	69	34	1	4.71969
gene12364	159	124	22	28.4704
gene12365	681	646	344	85.4512
gene12366	780	745	1239	266.875
rna28343	66	31	3	15.5293
gene12367	354	319	41	20.6246
rna28344	67	32	3	15.044
rna28345	69	34	3	14.1591
rna28346	69	34	0	0
gene12368	1665	1630	2693	265.119
rna28347	68	33	1	4.86271
gene12369	1344	1309	4374	536.205
gene12370	264	229	45	31.5333
rna28348	78	43	1	3.73185
rna28349	68	33	1	4.86271
gene12371	504	469	254	86.9066
gene12372	1152	1117	16291	2340.38
rna28350	67	32	0	0
gene12373	918	883	1189	216.079
rna28351	71	36	17	75.7772
rna28352	1371	1336	277147	33288.7
rna28353	70	35	14	64.1877
rna28354	786	751	7890	1685.89
rna0	1447	1412	70.3107	7.99059
rna1	835	800	78.1302	15.6719
rna2	1068	1033	20.0631	3.11667
rna3	4225	4190	697.998	26.7321
rna4	4189	4154	1035.97	40.0194
rna5	4183	4148	378.081	14.6264
rna6	4099	4064	127.249	5.02448
rna7	4256	4221	778.203	29.5849
rna8	1745	1710	342.984	32.1862
rna9	1848	1813	1814.02	160.559
rna10	1156	1121	491.444	70.3494
rna11	811	776	236.804	48.9687
rna12	2088	2053	248.091	19.3917
rna13	1866	1831	0	0
rna14	1817	1782	9.12237	0.821471
rna15	1761	1726	962.355	89.4719
rna16	1767	1732	44.0025	4.07682
rna17	2330	2295	361.182	25.2543
rna18	1595	1560	597	61.4104
rna20	1635	1600	183.636	18.4175
rna19	2736	2701	193.06	11.4699
rna21	1102	1067	15	2.2559
rna22	370	335	53.9123	25.8247
rna23	5269	5234	2039.23	62.5208
rna24	709	674	7	1.6666
rna25	1346	1311	296	36.2311
rna29	2262	2227	0	0
rna28	2319	2284	0	0
rna27	2080	2045	498	39.0776
rna26	2131	2096	0	0
rna31	2378	2343	8.43087e-005	5.7742e-006
rna30	2797	2762	0	0
rna32	2705	2670	1607	96.5821
rna34	670	635	0	0
rna33	519	484	190	62.9942
rna35	7543	7508	234	5.00131
rna48	2647	2612	1133.83	69.6576
rna47	3942	3907	30.1699	1.23915
rna46	2870	2835	0.000413653	2.3414e-005
rna45	4248	4213	328.903	12.5276
rna44	4454	4419	91.4453	3.3207
rna43	3106	3071	147.194	7.69135
rna42	2769	2734	22.4099	1.31533
rna40	2940	2905	160.198	8.84918
rna41	3144	3109	3.90688	0.201652
rna38	2843	2808	0	0
rna39	3009	2974	97.9847	5.287
rna37	3214	3179	1.78961	0.0903356
rna36	3212	3177	106.597	5.38418
rna49	84	49	0	0
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	1	2.46876
rna58	21	22	0	0
rna59	100	65	1	2.46876
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	186.715	10.8597
rna64	2208	2173	112.686	8.32152
rna65	2212	2177	11.6915	0.861791
rna66	14474	14439	9.092e-008	1.01045e-009
rna67	14423	14388	44.8216	0.499896
rna68	14444	14409	1.44179e-007	1.60568e-009
rna69	14417	14382	1.45357e-006	1.62184e-008
rna70	14453	14418	1.46173e-007	1.62687e-009
rna71	14407	14372	105.069	1.17314
rna72	14356	14321	151.877	1.70181
rna73	14266	14231	273.197	3.08058
rna74	14458	14423	0.0239712	0.000266702
rna75	14395	14360	1055.57	11.7957
rna76	14316	14281	0.00192389	2.16179e-005
rna77	14300	14265	531.833	5.98267
rna78	14089	14054	670.607	7.65703
rna83	6159	6124	71.038	1.86143
rna81	4544	4509	0.705842	0.02512
rna82	4606	4571	172.508	6.05606
rna80	4421	4386	1755.09	64.2129
rna79	4544	4509	36.6594	1.30466
rna84	1474	1439	31.9616	3.56418
rna85	4011	3976	933.937	37.6932
rna86	4332	4297	0	0
rna87	5550	5515	0	0
rna88	5530	5495	13.6132	0.397545
