target_id	length	eff_length	est_counts	tpm
rna28331	66	31	1	7.30229
rna28332	63	28	0	0
rna28333	66	31	0	0
rna28334	63	28	0	0
rna28335	70	35	1	6.46774
rna28336	69	34	6	39.9478
gene12361	1002	967	436	102.066
rna28337	69	34	15	99.8696
rna28338	68	33	252.98	1735.38
rna28339	72	37	6	36.7088
gene12362	1566	1531	73886	10924.7
rna28340	70	35	2	12.9355
gene12363	678	643	13717	4829.13
rna28341	69	34	0	0
rna28342	69	34	3	19.9739
gene12364	159	124	6	10.9534
gene12365	681	646	347	121.596
gene12366	780	745	998	303.246
rna28343	66	31	1	7.30229
gene12367	354	319	33	23.4177
rna28344	67	32	3	21.2223
rna28345	69	34	0	0
rna28346	69	34	0	0
gene12368	1665	1630	2628	364.971
rna28347	68	33	1	6.85973
gene12369	1344	1309	4163	719.926
gene12370	264	229	32	31.6326
rna28348	78	43	5	26.3222
rna28349	68	33	0	0
gene12371	504	469	163	78.6748
gene12372	1152	1117	13490	2733.88
rna28350	67	32	1	7.07409
gene12373	918	883	1239	317.637
rna28351	71	36	13	81.7451
rna28352	1371	1336	230613	39074.9
rna28353	70	35	6	38.8065
rna28354	786	751	6043	1821.52
rna0	1447	1412	41.8743	6.71326
rna1	835	800	24.9299	7.05425
rna2	1068	1033	34.8049	7.62712
rna3	4225	4190	710.869	38.4058
rna4	4189	4154	739.712	40.3104
rna5	4183	4148	313.733	17.1215
rna6	4099	4064	50.7933	2.82926
rna7	4256	4221	703.747	37.7418
rna8	1745	1710	567.86	75.1737
rna9	1848	1813	1321.14	164.957
rna10	1156	1121	380.971	76.9321
rna11	811	776	183.277	53.4646
rna12	2088	2053	243.177	26.8135
rna13	1866	1831	0	0
rna14	1817	1782	10.7169	1.36139
rna15	1761	1726	705.057	92.4707
rna16	1767	1732	59.4469	7.76966
rna17	2330	2295	313.355	30.9082
rna18	1595	1560	531	77.0532
rna20	1635	1600	133.142	18.8372
rna19	2736	2701	171.909	14.4077
rna21	1102	1067	18	3.81882
rna22	370	335	37.8406	25.5702
rna23	5269	5234	1773.25	76.6933
rna24	709	674	18	6.04552
rna25	1346	1311	223	38.5055
rna29	2262	2227	0	0
rna28	2319	2284	0	0
rna27	2080	2045	380	42.0641
rna26	2131	2096	0	0
rna31	2378	2343	7.66507	0.740568
rna30	2797	2762	57.1991	4.68799
rna32	2705	2670	1203.14	102.006
rna34	670	635	0	0
rna33	519	484	185	86.5261
rna35	7543	7508	231	6.9648
rna48	2647	2612	923.945	80.0744
rna47	3942	3907	42.2379	2.44726
rna46	2870	2835	147.681	11.7921
rna45	4248	4213	242.097	13.0082
rna44	4454	4419	1.52846e-005	7.82982e-007
rna43	3106	3071	89.0656	6.56525
rna42	2769	2734	22.4103	1.85554
rna40	2940	2905	2.59946	0.202562
rna41	3144	3109	2.53003	0.184216
rna38	2843	2808	0	0
rna39	3009	2974	128.759	9.8007
rna37	3214	3179	65.7849	4.68443
rna36	3212	3177	0.000102686	7.31666e-006
rna49	84	49	1	4.61982
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	1	5.26444
