target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	1	7.96291
rna28333	66	31	0	0
rna28334	63	28	1	7.96291
rna28335	70	35	0	0
rna28336	69	34	1	6.55769
gene12361	1002	967	291	67.0959
rna28337	69	34	5	32.7884
rna28338	68	33	132.981	898.473
rna28339	72	37	7	42.1819
gene12362	1566	1531	69549	10128.5
rna28340	70	35	1	6.37033
gene12363	678	643	14005	4856.26
rna28341	69	34	0	0
rna28342	69	34	2	13.1154
gene12364	159	124	9	16.1827
gene12365	681	646	233	80.418
gene12366	780	745	642	192.136
rna28343	66	31	0	0
gene12367	354	319	28	19.5703
rna28344	67	32	5	34.8377
rna28345	69	34	1	6.55769
rna28346	69	34	0	0
gene12368	1665	1630	1748	239.102
rna28347	68	33	1	6.75641
gene12369	1344	1309	2770	471.813
gene12370	264	229	13	12.6572
rna28348	78	43	0	0
rna28349	68	33	4	27.0256
gene12371	504	469	88	41.835
gene12372	1152	1117	13222	2639.21
rna28350	67	32	1	6.96754
gene12373	918	883	732	184.833
rna28351	71	36	3	18.5801
rna28352	1371	1336	179771	30001.6
rna28353	70	35	6	38.222
rna28354	786	751	2592	769.529
rna0	1447	1412	58.6914	9.26765
rna1	835	800	26.6362	7.42356
rna2	1068	1033	20.223	4.36491
rna3	4225	4190	495.869	26.3865
rna4	4189	4154	972.086	52.1757
rna5	4183	4148	297.725	16.0032
rna6	4099	4064	0.00047884	2.62704e-005
rna7	4256	4221	725.769	38.3365
rna8	1745	1710	644.972	84.0958
rna9	1848	1813	1174.03	144.381
rna10	1156	1121	327.949	65.2275
rna11	811	776	193.156	55.4979
rna12	2088	2053	237.329	25.7746
rna13	1866	1831	0	0
rna14	1817	1782	10.4522	1.30777
rna15	1761	1726	641.245	82.8348
rna16	1767	1732	60.8489	7.83312
rna17	2330	2295	267.019	25.9412
rna18	1595	1560	408	58.313
rna20	1635	1600	158.008	22.0186
rna19	2736	2701	141.788	11.7043
rna21	1102	1067	13	2.71649
rna22	370	335	42.7517	28.4536
rna23	5269	5234	1568	66.7947
rna24	709	674	8	2.64643
rna25	1346	1311	220	37.4153
rna29	2262	2227	12.2363	1.22506
rna28	2319	2284	0	0
rna27	2080	2045	377.764	41.1867
rna26	2131	2096	0	0
rna31	2378	2343	0	0
rna30	2797	2762	20.1491	1.62653
rna32	2705	2670	1243.85	103.869
rna34	670	635	4.2053	1.47657
rna33	519	484	148.795	68.5444
rna35	7543	7508	196	5.82052
rna48	2647	2612	826.594	70.5584
rna47	3942	3907	51.2889	2.92691
rna46	2870	2835	2.42259e-005	1.90527e-006
rna45	4248	4213	205.256	10.8626
rna44	4454	4419	3.84456e-006	1.93978e-007
rna43	3106	3071	86.5795	6.28586
rna42	2769	2734	0	0
rna40	2940	2905	1.22137	0.0937415
rna41	3144	3109	0.837406	0.0600544
rna38	2843	2808	0	0
rna39	3009	2974	162.751	12.2015
rna37	3214	3179	56.5945	3.96929
rna36	3212	3177	61.0531	4.2847
rna49	84	49	0	0
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	3	10.2905
rna62	19	20	0	0
rna63	2794	2759	165.693	13.39
rna64	2208	2173	76.9446	7.89492
rna65	2212	2177	8.71995	0.893069
rna66	14474	14439	2.51579e-008	3.88478e-010
rna67	14423	14388	0	0
rna68	14444	14409	54.2243	0.839053
rna69	14417	14382	1.28776e-006	1.9964e-008
rna70	14453	14418	51.6678	0.798996
rna71	14407	14372	1.26635e-008	1.96457e-010
rna72	14356	14321	51.5869	0.803148
rna73	14266	14231	222.427	3.48483
rna74	14458	14423	0.0105051	0.000162396
rna75	14395	14360	553.128	8.58817
rna76	14316	14281	0.000877776	1.37042e-005
rna77	14300	14265	381.333	5.96022
rna78	14089	14054	911.622	14.4625
rna83	6159	6124	95.2622	3.46829
rna81	4544	4509	65.9146	3.25935
rna82	4606	4571	358.453	17.4844
rna80	4421	4386	1158.37	58.8855
rna79	4544	4509	0	0
rna84	1474	1439	20.1314	3.1192
rna85	4011	3976	733.744	41.146
rna86	4332	4297	20.8361	1.08114
rna87	5550	5515	0	0
rna88	5530	5495	27.3909	1.11139
rna89	4942	4907	1249.1	56.7561
rna91	2164	2129	5.15425	0.539784
rna92	88	53	0	0
rna93	23	24	0	0
rna90	4161	4126	78.0361	4.21693
rna94	1791	1756	1	0.126971
rna95	7798	7763	1105.6	31.7541
rna96	1263	1228	123.101	22.3507
rna97	1507	1472	4.0518	0.61372
rna98	147	112	15.7726	31.3989
rna99	1089	1054	1	0.211538
rna100	3465	3430	866.897	56.3512
rna101	3014	2979	751.103	56.2159
rna102	2233	2198	2109.06	213.939
rna103	556	521	0	0
rna104	937	902	2	0.494371
rna106	2689	2654	174.785	14.6836
rna105	2799	2764	113.729	9.17407
rna107	4147	4112	373.653	20.2603
rna108	3811	3776	117.347	6.92896
rna109	135	100	0	0
rna110	21	22	0	0
rna113	1684	1649	731.666	98.9286
rna112	1416	1381	2.69166	0.434567
rna111	1532	1497	613.643	91.3952
rna114	1231	1196	159	29.6412
rna118	2623	2588	15.4623	1.33211
rna117	2429	2394	0	0
rna115	2665	2630	893.538	75.7507
rna116	2757	2722	0	0
rna119	443	408	38	20.766
rna120	2938	2903	611.711	46.9817
rna121	3327	3292	0	0
rna122	3374	3339	322.289	21.5208
rna123	3403	3368	277.608	18.3776
rna124	73	38	0.321977	1.88917
rna125	719	684	257	83.7735
rna126	5004	4969	1583.39	71.0476
rna127	1408	1373	26.8063	4.35308
rna128	977	942	448.194	106.083
rna129	72	37	10	60.2598
rna130	2528	2493	318	28.4403
rna131	3012	2977	51	3.81963
rna132	4581	4546	25	1.22614
rna136	1963	1928	0	0
rna135	1986	1951	23.4188	2.67632
rna133	1999	1964	552.669	62.7413
rna134	1907	1872	8.91169	1.06141
rna137	3630	3595	19	1.17838
rna138	2375	2340	9.31484	0.887543
rna140	107	72	0	0
rna141	22	23	0	0
rna142	119	84	2	5.3086
rna143	21	22	0	0
rna144	1328	1293	0	0
rna145	1189	1154	1	0.193207
rna139	2657	2622	6.68516	0.568472
rna146	3248	3213	14	0.971509
rna147	5977	5942	41	1.53844
rna148	4414	4379	0	0
rna149	5848	5813	0	0
rna157	3268	3233	13.9307	0.960718
rna158	899	864	11	2.83863
rna150	6141	6106	0	0
rna151	4784	4749	54.5451	2.56085
rna152	5907	5872	0	0
rna153	4704	4669	0	0
rna154	4412	4377	0	0
rna155	4661	4626	0	0
rna156	4160	4125	14.4549	0.781303
rna159	1629	1594	68.0909	9.52424
rna163	82	47	0	0
rna164	1464	1429	7	1.09218
rna165	4796	4761	13.8872	0.65035
rna166	8094	8059	1.02341e-006	2.83138e-008
rna167	7887	7852	0	0
rna168	8169	8134	31.5052	0.863591
rna169	8148	8113	0	0
rna170	8251	8216	0	0
rna160	1804	1769	0	0
rna161	2772	2737	495.666	40.3779
rna162	1631	1596	37.1792	5.19393
rna171	1399	1364	5.24517	0.857383
rna172	2605	2570	0	0
rna173	2503	2468	448	40.4727
rna174	2094	2059	0	0
rna175	1367	1332	39	6.52815
rna187	1426	1391	11.8633	1.90155
rna185	1453	1418	0	0
rna186	1487	1452	9.89274e-009	1.51908e-009
