"","ID","Dbxref"
"1","rna0",c("GeneID:551580", "Genbank:XM_623972.6", "BEEBASE:GB42195")
"2","rna1",c("GeneID:551580", "Genbank:XR_001705491.2", "BEEBASE:GB42195")
"3","rna2",c("GeneID:551580", "Genbank:XR_001705490.2", "BEEBASE:GB42195")
"4","rna3",c("GeneID:551555", "Genbank:XM_006557405.3", "BEEBASE:GB42138")
"5","rna4",c("GeneID:551555", "Genbank:XM_006557404.3", "BEEBASE:GB42138")
"6","rna5",c("GeneID:551555", "Genbank:XM_623949.6", "BEEBASE:GB42138")
"7","rna6",c("GeneID:551555", "Genbank:XM_006557406.3", "BEEBASE:GB42138")
"8","rna7",c("GeneID:726347", "Genbank:XM_026446303.1", "BEEBASE:GB42194")
"9","rna8",c("GeneID:409940", "Genbank:XM_026439913.1", "BEEBASE:GB42139")
"10","rna9",c("GeneID:409940", "Genbank:NM_001242554.1", "BEEBASE:GB42139")
"11","rna10",c("GeneID:726145", "Genbank:XM_016917677.1", "BEEBASE:GB42193")
"12","rna11",c("GeneID:726145", "Genbank:XM_016917679.2", "BEEBASE:GB42193")
"13","rna12",c("GeneID:551448", "Genbank:XM_016917662.2", "BEEBASE:GB42140")
"14","rna13",c("GeneID:551448", "Genbank:XM_026440071.1", "BEEBASE:GB42140")
"15","rna14",c("GeneID:551448", "Genbank:XM_016917667.2", "BEEBASE:GB42140")
"16","rna15",c("GeneID:551448", "Genbank:XM_006557400.3", "BEEBASE:GB42140")
"17","rna16",c("GeneID:551448", "Genbank:XM_016917672.2", "BEEBASE:GB42140")
"18","rna17",c("GeneID:410665", "Genbank:XM_394142.7", "BEEBASE:GB42192")
"19","rna18",c("GeneID:408567", "Genbank:XM_392111.7", "BEEBASE:GB42141")
"20","rna19",c("GeneID:107964061", "Genbank:XM_016910851.2")
"21","rna20",c("GeneID:107964061", "Genbank:XM_016910856.2")
"22","rna21",c("GeneID:107964068", "Genbank:XR_001702207.2")
"23","rna22",c("GeneID:113219112", "Genbank:XM_026443867.1")
"24","rna23",c("GeneID:726450", "Genbank:XM_006557392.2", "BEEBASE:GB42142")
"25","rna24",c("GeneID:107964063", "Genbank:XR_001702201.2")
"26","rna25",c("GeneID:113219111", "Genbank:XM_026443863.1")
"27","rna26",c("GeneID:410664", "Genbank:XM_006557389.3", "BEEBASE:GB42190")
"28","rna27",c("GeneID:410664", "Genbank:XM_026443894.1", "BEEBASE:GB42190")
"29","rna28",c("GeneID:410664", "Genbank:XM_394141.4", "BEEBASE:GB42190")
"30","rna29",c("GeneID:410664", "Genbank:XM_006557388.1", "BEEBASE:GB42190")
"31","rna30",c("GeneID:408565", "Genbank:XM_006557391.3", "BEEBASE:GB42143")
"32","rna31",c("GeneID:408565", "Genbank:XM_392109.6", "BEEBASE:GB42143")
"33","rna32",c("GeneID:408565", "Genbank:XM_016910832.2", "BEEBASE:GB42143")
"34","rna33",c("GeneID:410663", "Genbank:XM_006557387.3", "BEEBASE:GB42189")
